Company Name,City,State,Location
DELL FEDERAL SYSTEMS L.P,ROUND ROCK,TEXAS,"30.5082551, -97.678896"
DELMAR GARDENS ON THE GREEN OPERATING LLC,CHESTERFIELD,MISSOURI,"38.6631083, -90.5770675"
DELOITTE & TOUCHE LLP,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
DELOITTE CONSULTING LLP,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
DELOITTE FINANCIAL ADVISORY SERVICES LLP,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
DELPHINUS ENGINEERING INCORPORATED,EDDYSTONE,PENNSYLVANIA,"39.8601125, -75.3443561"
"DELTA RESOURCES, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"DENTRUST DENTAL INTERNATIONAL, INC.",PIPERSVILLE,PENNSYLVANIA,"40.4259686, -75.1393428"
"DEPENDABLE HEALTH SERVICES, INC.",SAN ANTONIO,TEXAS,"29.4251905, -98.4945922"
"DEPLOYED RESOURCES, LLC",ROME,NEW YORK,"43.2128473, -75.4557303"
"DEPLOYED SERVICES, LLC",TAMPA,FLORIDA,"27.9516896, -82.45875269999999"
DEPUY SYNTHES SALES INC,WEST CHESTER,PENNSYLVANIA,"39.959884, -75.6062135"
DESIGN & PRODUCTION INC,LORTON,VIRGINIA,"38.704282, -77.2277603"
"DESIGN PARTNERS, INCORPORATED",HONOLULU,HAWAII,"21.3098845, -157.8581401"
DEV TECHNOLOGY GROUP INC,RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
DEWBERRY ENGINEERS INC.,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
DEWBERRY-GF USACE NAN RIVERINE JV PARTNERS,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
DEXIS INTERACTIVE INCORPORATED,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"DEXIS PROFESSIONAL SERVICES, INC",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
DFA DAIRY BRANDS FLUID LLC,KANSAS CITY,KANSAS,"39.11553139999999, -94.62678729999999"
DGG RE INVESTMENTS LLC,LANGHORNE,PENNSYLVANIA,"40.1745538, -74.92266649999999"
DIAGNOSTICA STAGO INC.,PARSIPPANY,NEW JERSEY,"40.8664763, -74.4100392"
DIDLAKE INC,MANASSAS,VIRGINIA,"38.7512726, -77.4706769"
"DIGITAL INFUZION, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"DIGITAL MANAGEMENT, LLC",BETHESDA,MARYLAND,"38.984652, -77.0947092"
DIGITAL MEDICINE SOCIETY INC,BOSTON,MASSACHUSETTS,"42.3555076, -71.0565364"
"DIGITAL MOBILIZATIONS, INC.",WARRENTON,VIRGINIA,"38.7134516, -77.7952712"
DIGITAL PROMISE GLOBAL,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"DIGITAL RECEIVER TECHNOLOGY, INC.",GERMANTOWN,MARYLAND,"39.1731621, -77.2716502"
DIRECT ENERGY BUSINESS LLC,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
"DIRECT ENERGY BUSINESS MARKETING, LLC",ISELIN,NEW JERSEY,"40.5753817, -74.3223703"
DISMAS CHARITIES INC,LOUISVILLE,KENTUCKY,"38.2468618, -85.7663724"
DISMAS HOUSE OF ST LOUIS,SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
DIVERSIFIED FOODS INC,METAIRIE,LOUISIANA,"29.9840922, -90.1528519"
DLA TROOP SUPPORT,PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
"DLH SOLUTIONS, INC",ATLANTA,GEORGIA,"33.7501275, -84.3885209"
DLR GROUP INC.,OVERLAND PARK,KANSAS,"38.9822282, -94.6707917"
"DLT SOLUTIONS, LLC",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"DMG MORI FEDERAL SERVICES, INC.",HOFFMAN ESTATES,ILLINOIS,"42.0629915, -88.12271989999999"
DMS CONTRACTING INC,MASCOUTAH,ILLINOIS,"38.490327, -89.793154"
"DOBCO, INC.",WAYNE,NEW JERSEY,"40.948903, -74.273578"
"DOCPOINT SOLUTIONS, LLC",FULTON,MARYLAND,"39.1511692, -76.92305069999999"
DOCUMENT STORAGE SYSTEMS INC,JUNO BEACH,FLORIDA,"26.8797819, -80.0533743"
"DOLE PACKAGED FOODS, LLC",WESTLAKE VILLAGE,CALIFORNIA,"34.1466467, -118.8073729"
"DOMINION ENERGY SOUTH CAROLINA, INC.",CAYCE,SOUTH CAROLINA,"33.96570910000001, -81.0739827"
"DOMINION PRIVATIZATION SOUTH CAROLINA, LLC",RICHMOND,VIRGINIA,"37.5407246, -77.4360481"
"DOMINION PRIVATIZATION TEXAS, LLC",RICHMOND,VIRGINIA,"37.5407246, -77.4360481"
"DONJON MARINE CO., INC.",HILLSIDE,NEW JERSEY,"40.6969863, -74.2194154"
"DRAEGER, INC.",TELFORD,PENNSYLVANIA,"40.324992, -75.3281748"
DRAGADOS/HAWAIIAN DREDGING/ORION JV,HONOLULU,HAWAII,"21.3098845, -157.8581401"
"DRAKEN INTERNATIONAL, INC.",LAKELAND,FLORIDA,"28.042093, -81.9534956"
"DRC EMERGENCY SERVICES, LLC",GALVESTON,TEXAS,"29.3012309, -94.7950151"
DREW MARINE USA INC,WHIPPANY,NEW JERSEY,"40.8254055, -74.4022355"
"DRMP - AVCON JOINT VENTURE, LLC",ORLANDO,FLORIDA,"28.5383832, -81.3789269"
DRS ADVANCED ISR LLC,BEAVERCREEK,OHIO,"39.7092262, -84.06326849999999"
"DRS GLOBAL ENTERPRISE SOLUTIONS, INC.",DULLES,VIRGINIA,"38.9639112, -77.4496269"
DRS LAUREL TECHNOLOGIES,JOHNSTOWN,PENNSYLVANIA,"40.32674069999999, -78.9219698"
DRS NAVAL POWER SYSTEMS INC,MENOMONEE FALLS,WISCONSIN,"43.1788618, -88.1174594"
DRS NETWORK & IMAGING SYSTEMS LLC,MELBOURNE,FLORIDA,"28.0794398, -80.6078048"
DRS SUSTAINMENT SYSTEMS INC,BRIDGETON,MISSOURI,"38.7669954, -90.41150569999999"
"DRS SYSTEMS, INC.",MELBOURNE,FLORIDA,"28.0794398, -80.6078048"
DS GOVERNMENT SOLUTIONS CORP,WALTHAM,MASSACHUSETTS,"42.3764358, -71.23575009999999"
"DSFEDERAL, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
DTE ENERGY COMPANY,DETROIT,MICHIGAN,"42.32971819999999, -83.0424533"
"DUCOMMUN LABARGE TECHNOLOGIES, INC.",JOPLIN,MISSOURI,"37.0854844, -94.5134312"
"DUKE ENERGY PROGRESS, LLC",RALEIGH,NORTH CAROLINA,"35.7795897, -78.6381787"
DUKE UNIVERSITY,DURHAM,NORTH CAROLINA,"35.9955684, -78.9002077"
DULCICH INC,CLACKAMAS,OREGON,"45.4074434, -122.5688975"
"DUN & BRADSTREET, INC.",JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
"DUNLAP AND ASSOCIATES, INC.",CARY,NORTH CAROLINA,"35.7890402, -78.77976439999999"
"DUTRA GROUP, THE",SAN RAFAEL,CALIFORNIA,"37.9735346, -122.5310874"
DY4 INC,ASHBURN,VIRGINIA,"39.0437567, -77.4874416"
"DYNAMIS, INC.",FALLS CHURCH,VIRGINIA,"38.88233400000001, -77.1710914"
"DYNEGY ENERGY SERVICES (EAST), LLC",CINCINNATI,OHIO,"39.1031182, -84.5120196"
"DYNETICS, INC.",HUNTSVILLE,ALABAMA,"34.7295497, -86.5853155"
DZSP 21 LLC,MARLTON,NEW JERSEY,"39.8912248, -74.9218324"
DZYNE TECHNOLOGIES INCORPORATED,FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
E S WAGNER COMPANY,OREGON,OHIO,"41.6436603, -83.48687679999999"
"E.W. HOWELL CO., LLC",PLAINVIEW,NEW YORK,"40.7764882, -73.4673454"
"EA ENGINEERING, SCIENCE, AND TECHNOLOGY, INC., PBC",HUNT VALLEY,MARYLAND,"39.4900013, -76.65850739999999"
EA-BAKER JV,HUNT VALLEY,MARYLAND,"39.4900013, -76.65850739999999"
EA-BAKER PARTNERS JV,HUNT VALLEY,MARYLAND,"39.4900013, -76.65850739999999"
EAGLE FIRE INC.,RICHMOND,VIRGINIA,"37.5407246, -77.4360481"
"EAGLE HILL CONSULTING, LLC",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
EAGLE SECURITY GROUP INC,FREDERICKSBURG,VIRGINIA,"38.3003751, -77.4588059"
"EAGLEPICHER TECHNOLOGIES, LLC",JOPLIN,MISSOURI,"37.0854844, -94.5134312"
"EAN HOLDINGS, LLC",SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
"EARTH RESOURCES TECHNOLOGY, INC.",LAUREL,MARYLAND,"39.0992752, -76.8483061"
EASTERN RESEARCH GROUP INC,CONCORD,MASSACHUSETTS,"42.4603719, -71.3489484"
EATON AEROSPACE LLC,LOS ANGELES,CALIFORNIA,"34.0549076, -118.242643"
"EATON AEROSPACE, LLC",JACKSON,MISSISSIPPI,"32.2981392, -90.18065"
EATON CORPORATION,RALEIGH,NORTH CAROLINA,"35.7795897, -78.6381787"
EATON CORPORATION,MENOMONEE FALLS,WISCONSIN,"43.1788618, -88.1174594"
"EBSCO INDUSTRIES, INC.",BIRMINGHAM,ALABAMA,"33.5185892, -86.8103567"
"EC AMERICA, INC.",MC LEAN,VIRGINIA,"38.9338676, -77.1772604"
ECC CONSTRUCTORS LLC,BURLINGAME,CALIFORNIA,"37.5778696, -122.34809"
"ECC INTERNATIONAL, LLC",VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
"ECHELON SUPPLY AND SERVICE, INC.",LIVERPOOL,NEW YORK,"43.102511, -76.2047882"
"ECONOMETRICA, INC.",BETHESDA,MARYLAND,"38.984652, -77.0947092"
"ECS FEDERAL, LLC",FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
EDFINANCIAL SERVICES LLC,KNOXVILLE,TENNESSEE,"35.965266, -83.923304"
EDUCATION TRAINING RESEARCH ASSOC,SCOTTS VALLEY,CALIFORNIA,"37.048345, -122.0168296"
"EDUCATION, MARYLAND DEPARTMENT OF",BALTIMORE,MARYLAND,"39.2905023, -76.6104072"
EDUCATIONAL TESTING SERVICE,PRINCETON,NEW JERSEY,"40.3503931, -74.6571416"
EFW INC.,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
EL PASO ELECTRIC COMPANY,EL PASO,TEXAS,"31.7618778, -106.4850217"
ELBIT SYSTEMS OF AMERICA - NIGHT VISION LLC,ROANOKE,VIRGINIA,"37.2709116, -79.94494949999999"
ELECTRIC BOAT CORPORATION,GROTON,CONNECTICUT,"41.3481528, -72.07866299999999"
ELECTRIC POWER RESEARCH INSTITUTE INC,KNOXVILLE,TENNESSEE,"35.965266, -83.923304"
ELECTROMECH TECHNOLOGIES LLC,WICHITA,KANSAS,"37.693452, -97.3382202"
ELLWOOD NATIONAL FORGE COMPANY,IRVINE,PENNSYLVANIA,"41.839885, -79.2681029"
"EMAGINE IT, INC.",NORTH BETHESDA,MARYLAND,"39.0445535, -77.11886779999999"
"EMCOR GOVERNMENT SERVICES, INC.",ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"EMERALD COAST UTILITY SERVICES, INC.",EGLIN AFB,FLORIDA,"30.4635583, -86.5533382"
EMERGENCY CARE RESEARCH INSTITUTE,PLYMOUTH MEETING,PENNSYLVANIA,"40.1023319, -75.2743467"
EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,GAITHERSBURG,MARYLAND,"39.1439689, -77.2016062"
"EMERGENT, LLC",VIRGINIA BEACH,VIRGINIA,"36.8516437, -75.97921939999999"
"EMMES COMPANY, LLC, THE",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
EMORY UNIVERSITY,ATLANTA,GEORGIA,"33.7501275, -84.3885209"
EMPIRE HOSPITALITY LLC,VANCOUVER,WASHINGTON,"45.6280277, -122.673865"
EMPLOYMENT HORIZONS INC,CEDAR KNOLLS,NEW JERSEY,"40.821763, -74.4500053"
"EMPOWER AI, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
EMS DEVELOPMENT CORPORATION,YAPHANK,NEW YORK,"40.8367653, -72.9170487"
ENERGY SYSTEMS GROUP LLC,NEWBURGH,INDIANA,"37.9444882, -87.4052865"
ENERSYS ENERGY PRODUCTS INC.,WARRENSBURG,MISSOURI,"38.7627893, -93.73604979999999"
ENGIE RESOURCES LLC,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
ENGINEERED COIL COMPANY,HIGH RIDGE,MISSOURI,"38.4589432, -90.5365126"
"ENGINEERING RESEARCH AND CONSULTING, INC.",HUNTSVILLE,ALABAMA,"34.7295497, -86.5853155"
ENLIGHTEN IT CONSULTING LLC,LINTHICUM HEIGHTS,MARYLAND,"39.2051077, -76.6527456"
ENNEAD ARCHITECTS LLP,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"ENOVITY, INC.",SAN FRANCISCO,CALIFORNIA,"37.7749295, -122.4194155"
"ENSCO, INC.",SPRINGFIELD,VIRGINIA,"38.7892801, -77.18720359999999"
ENSIGN-BICKFORD AEROSPACE & DEFENSE COMPANY,SIMSBURY,CONNECTICUT,"41.8702338, -72.8046648"
"ENTERGY LOUISIANA, LLC",JEFFERSON,LOUISIANA,"29.96603709999999, -90.1531298"
"ENTERPRISE PROFESSIONAL SERVICES, INC.",LAKEWAY,TEXAS,"30.3679788, -97.99167899999999"
"ENTERPRISE RESOURCE PERFORMANCE, INC.",FAIRFAX,VIRGINIA,"38.8459879, -77.3053035"
ENTRUST CORPORATION,SHAKOPEE,MINNESOTA,"44.7973962, -93.5272861"
"ENV SERVICES, INC.",HATFIELD,PENNSYLVANIA,"40.27982739999999, -75.2993417"
ENVIRONMENTAL CHEMICAL CORPORATION,BURLINGAME,CALIFORNIA,"37.5778696, -122.34809"
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",REDLANDS,CALIFORNIA,"34.0555693, -117.1825381"
"ENVIROVANTAGE, INC.",EPPING,NEW HAMPSHIRE,"43.0534843, -71.0735476"
"ENVISAGE TECHNOLOGIES, LLC",BLOOMINGTON,INDIANA,"39.169574, -86.5385549"
"E-ONE, INC.",OCALA,FLORIDA,"29.1850783, -82.1342596"
"EPIC AVIATION, LLC",SALEM,OREGON,"44.9362411, -123.0407496"
"EPIQ CLASS ACTION & CLAIMS SOLUTIONS, INC.",BEAVERTON,OREGON,"45.4869283, -122.804032"
"EPSILON C5I, INC.",SAN DIEGO,CALIFORNIA,"32.715738, -117.1610838"
EQ & CH REMEDIATION,CINCINNATI,OHIO,"39.1031182, -84.5120196"
EQUIFAX WORKFORCE SOLUTIONS LLC,ATLANTA,GEORGIA,"33.7501275, -84.3885209"
"EQUINIX, INC.",REDWOOD CITY,CALIFORNIA,"37.4847955, -122.228141"
ERNST & YOUNG LLP,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
ERNST & YOUNG LLP,NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES, INC., THE",NORTH BETHESDA,MARYLAND,"39.0445535, -77.11886779999999"
"ETHOSENERGY ACCESSORIES AND COMPONENTS, LLC",EAST WINDSOR,CONNECTICUT,"41.9161361, -72.5578799"
ETS-LINDGREN INC,WOOD DALE,ILLINOIS,"41.9633625, -87.9789562"
EUTELSAT AMERICA CORP.,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"EVERBRIDGE, INC.",BURLINGTON,MASSACHUSETTS,"42.5047161, -71.1956205"
EVERETT SHIP REPAIR LLC,FREELAND,WASHINGTON,"48.009537, -122.525983"
"EVERGY MISSOURI WEST, INC.",KANSAS CITY,MISSOURI,"39.0997265, -94.5785667"
EVERSOURCE ENERGY SERVICE COMPANY,BERLIN,CONNECTICUT,"41.621488, -72.7456519"
EWING COLE INC,PHILADELPHIA,PENNSYLVANIA,"39.9525839, -75.1652215"
EXP FEDERAL INC.,CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
"EXPEDITEINFOTECH, INC.",ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
"EXPERIAN INFORMATION SOLUTIONS, INC",SANTA ANA,CALIFORNIA,"33.7454725, -117.867653"
"EXPERIAN INFORMATION SOLUTIONS, INC.",COSTA MESA,CALIFORNIA,"33.6638439, -117.9047429"
"EXPONENT, INC.",MENLO PARK,CALIFORNIA,"37.4529598, -122.1817252"
"EXPRESS SCRIPTS, INC.",SAINT LOUIS,MISSOURI,"38.6270025, -90.19940419999999"
"EXXEL OUTDOORS, LLC",BROOMFIELD,COLORADO,"39.9205411, -105.0866504"
EXXON MOBIL CORPORATION,SPRING,TEXAS,"30.0799405, -95.41716009999999"
EYP-LORING LLC,ALBANY,NEW YORK,"42.6518095, -73.75447070000001"
"FACILITY SERVICES MANAGEMENT, INC.",CLARKSVILLE,TENNESSEE,"36.5297706, -87.3611694"
"FAIRBANKS MORSE, LLC",HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
"FAIRBANKS MORSE, LLC",NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
"FAIRBANKS MORSE, LLC",BELOIT,WISCONSIN,"42.5083482, -89.03177649999999"
FALCONWOOD,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
"FAMILY ENDEAVORS, INC.",SAN ANTONIO,TEXAS,"29.4251905, -98.4945922"
"FAMILY GUIDANCE CENTERS, INC.",GLENVIEW,ILLINOIS,"42.0778065, -87.8223368"
FAMILY HEALTH INTERNATIONAL,DURHAM,NORTH CAROLINA,"35.9955684, -78.9002077"
FARRELL LINES INCORPORATED,NORFOLK,VIRGINIA,"36.8507689, -76.28587259999999"
FASTENAL COMPANY,WINONA,MINNESOTA,"44.0553908, -91.6663523"
"FC REMEDIATION SEFC, LLC",CLEVELAND,OHIO,"41.49932, -81.6943605"
FCA US LLC,AUBURN HILLS,MICHIGAN,"42.6875323, -83.2341028"
"FECHHEIMER BROTHERS COMPANY, THE",CINCINNATI,OHIO,"39.1031182, -84.5120196"
"FEDCAP REHABILITATION SERVICES, INC.",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"FEDDATA TECHNOLOGY SOLUTIONS, LLC",ANNAPOLIS JUNCTION,MARYLAND,"39.1209588, -76.77564459999999"
FEDERAL CONTRACTING INC,COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
FEDERAL EXPRESS CORPORATION,MEMPHIS,TENNESSEE,"35.1485812, -90.0518955"
FEDERAL EXPRESS CORPORATION,MEMPHIS,TENNESSEE,"35.1485812, -90.0518955"
FEDERAL STAFFING RESOURCES LLC,ANNAPOLIS,MARYLAND,"38.9764364, -76.489642"
"FEDEX CUSTOM CRITICAL, INC.",UNIONTOWN,OHIO,"40.9750568, -81.40816730000002"
"FEDEX SUPPLY CHAIN DISTRIBUTION SYSTEM, INC.",PITTSBURGH,PENNSYLVANIA,"40.4386612, -79.99723519999999"
"FEDRESULTS, INC.",RESTON,VIRGINIA,"38.9586307, -77.35700279999999"
FEI COMPANY,HILLSBORO,OREGON,"45.52013669999999, -122.9898246"
"FERMI FORWARD DISCOVERY GROUP, LLC",CHICAGO,ILLINOIS,"41.8781136, -87.6297982"
FERMI RESEARCH ALLIANCE LIMITED LIABILITY COMPANY,BATAVIA,ILLINOIS,"41.8500284, -88.3125738"
"FERROVIAL CONSTRUCCION PR, LLC",SAN JUAN,PUERTO RICO,"18.4153108, -66.0593509"
"FFF ENTERPRISES, INC.",TEMECULA,CALIFORNIA,"33.4934243, -117.1488156"
"FGS, LLC",LA PLATA,MARYLAND,"38.5292877, -76.97525139999999"
FIAMM ENERGY TECHNOLOGY (USA) LLC,WAYNESBORO,GEORGIA,"33.0898731, -82.0156736"
FIBER MATERIALS INC.,BIDDEFORD,MAINE,"43.4925843, -70.45338439999999"
FIDELITY TECHNOLOGIES CORP,READING,PENNSYLVANIA,"40.3369615, -75.9214385"
FINCANTIERI MARINE GROUP LLC,STURGEON BAY,WISCONSIN,"44.8341639, -87.3770419"
FINCANTIERI MARINE REPAIR LLC,JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
FIRETRACE AEROSPACE LLC,SCOTTSDALE,ARIZONA,"33.4948764, -111.9216734"
"FIRETREE, LTD.",WILLIAMSPORT,PENNSYLVANIA,"41.2411897, -77.00107860000001"
"FIRETROL PROTECTION SYSTEMS, INC.",MOBILE,ALABAMA,"30.6953657, -88.0398912"
"FIRST COAST SECURITY SOLUTIONS, INC.",JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
FIRST COAST SERVICE OPTIONS INC,JACKSONVILLE,FLORIDA,"30.3297566, -81.6591529"
"FISH & WILDLIFE, WASHINGTON STATE DEPARTMENT OF",OLYMPIA,WASHINGTON,"47.0451842, -122.895355"
FISHER BIOSERVICES INC.,ROCKVILLE,MARYLAND,"39.0839973, -77.1527578"
FISHER SAND & GRAVEL CO.,TEMPE,ARIZONA,"33.4255104, -111.9400054"
FISHER SCIENTIFIC COMPANY L.L.C.,PITTSBURGH,PENNSYLVANIA,"40.4386612, -79.99723519999999"
"FITCH SOLUTIONS, INC.",NEW YORK,NEW YORK,"40.7127753, -74.0059728"
"FJC SECURITY SERVICES, INC.",LONG ISLAND CITY,NEW YORK,"40.7127753, -74.0059728"
FLATIRON/DRAGADOS/SUKUT JOINT VENTURE,BENICIA,CALIFORNIA,"38.049365, -122.1585777"
FLIGHTSAFETY INTERNATIONAL INC,COLUMBUS,OHIO,"39.9625112, -83.0032218"
FLIGHTSAFETY SERVICES CORPORATION,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
FLINT ELECTRIC MEMBERSHIP CORPORATION,REYNOLDS,GEORGIA,"32.5598685, -84.09630039999999"
"FLINTCO, LLC",TULSA,OKLAHOMA,"36.1551375, -95.98950099999999"
"FLIR DETECTION, INC.",STILLWATER,OKLAHOMA,"36.1156071, -97.0583681"
"FLIR SURVEILLANCE, INC.",WILSONVILLE,OREGON,"45.3029344, -122.7726687"
"FLIR SYSTEMS, INC.",NORTH BILLERICA,MASSACHUSETTS,"42.5831997, -71.28486629999999"
"FLIR UNMANNED GROUND SYSTEMS, INC.",CHELMSFORD,MASSACHUSETTS,"42.59692769999999, -71.3514509"
FLORIDA INSTITUTE FOR HUMAN & MACHINE COGNITION INC,PENSACOLA,FLORIDA,"30.4076647, -87.2189746"
FLORIDA KEYS AQUEDUCT AUTHORITY,KEY WEST,FLORIDA,"24.5550593, -81.7799871"
FLORIDA POWER & LIGHT COMPANY,JUNO BEACH,FLORIDA,"26.8797819, -80.0533743"
FLORIDA TURBINE TECHNOLOGIES INC.,JUPITER,FLORIDA,"26.9318533, -80.1023696"
FLUKE ELECTRONICS CORP,EVERETT,WASHINGTON,"47.9782457, -122.207417"
FLUOR FEDERAL SERVICES INC,GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
"FLUOR INTERCONTINENTAL, INC.",GREENVILLE,SOUTH CAROLINA,"34.8484984, -82.40001579999999"
FN AMERICA LLC,COLUMBIA,SOUTH CAROLINA,"34.0008322, -81.035147"
FNI COWI & CDM SMITH JV,FORT WORTH,TEXAS,"32.7554883, -97.3307658"
"FOLLETT SCHOOL SOLUTIONS, INC.",MCHENRY,ILLINOIS,"42.333355, -88.2667534"
FOLSOM DAM CONSTRUCTORS,PLEASANTON,CALIFORNIA,"37.6604484, -121.8757968"
FORCEPOINT FEDERAL LLC,HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"FORCEX, INC.",NASHVILLE,TENNESSEE,"36.1626638, -86.7816016"
FORD MOTOR COMPANY,DEARBORN,MICHIGAN,"42.3222599, -83.17631449999999"
"FORFEITURE SUPPORT ASSOCIATES, LLC",ASHBURN,VIRGINIA,"39.0437567, -77.4874416"
"FORRESTER RESEARCH, INC.",CAMBRIDGE,MASSACHUSETTS,"42.3666036, -71.1056916"
FORS MARSH GROUP LLC,ARLINGTON,VIRGINIA,"38.8827061, -77.0831211"
FORT MYER CONSTRUCTION CORPORATION,WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"FORT RILEY UTILITY SERVICES, INC.",FORT RILEY,KANSAS,"39.1052194, -96.8157192"
FOSTER MILLER INC,WALTHAM,MASSACHUSETTS,"42.3764358, -71.23575009999999"
"FOSTER POULTRY FARMS, LLC",LIVINGSTON,CALIFORNIA,"37.3868826, -120.7235329"
"FOSTER-MILLER, INC",WALTHAM,MASSACHUSETTS,"42.3764358, -71.23575009999999"
FOUNDATION FOR ADVANCING VETERANS HEALTH RESEARCH,SAN ANTONIO,TEXAS,"29.4251905, -98.4945922"
"FOUNDATION MEDICINE, INC.",CAMBRIDGE,MASSACHUSETTS,"42.3666036, -71.1056916"
FOUR COUNTY ELECTRIC POWER ASSOCIATION INC,COLUMBUS,MISSISSIPPI,"33.4956744, -88.4272627"
"FOUR RIVERS NUCLEAR PARTNERSHIP, LLC",ENGLEWOOD,COLORADO,"39.6477653, -104.9877597"
FRAMATOME INC.,LYNCHBURG,VIRGINIA,"37.4148819, -79.1422071"
"FRANCONIA REAL ESTATE SERVICES, INC.",PARSIPPANY,NEW JERSEY,"40.8664763, -74.4100392"
FRAUNHOFER USA INC,BROOKLINE,MASSACHUSETTS,"42.33176419999999, -71.1211635"
FRED HUTCHINSON CANCER CENTER,SEATTLE,WASHINGTON,"47.6061389, -122.3328481"
"FREESTATE ELECTRIC COOPERATIVE, INC.",TOPEKA,KANSAS,"39.0473451, -95.67515759999999"
"FREQUENTIS USA, INC",COLUMBIA,MARYLAND,"39.2037144, -76.86104619999999"
"FRESENIUS KABI USA, LLC",LAKE ZURICH,ILLINOIS,"42.19696889999999, -88.0934108"
"FRESENIUS KABI, LLC",LAKE ZURICH,ILLINOIS,"42.19696889999999, -88.0934108"
FRONTGRADE COLORADO SPRINGS LLC,COLORADO SPRINGS,COLORADO,"38.8353142, -104.8216009"
FRONTGRADE TECHNOLOGIES INC.,PLAINVIEW,NEW YORK,"40.7764882, -73.4673454"
"FTI CONSULTING, INC.",WASHINGTON,DISTRICT OF COLUMBIA,"38.9071923, -77.0368707"
"FUGRO USA LAND, INC.",HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
FUJIFILM HEALTHCARE AMERICAS CORPORATION,LEXINGTON,MASSACHUSETTS,"42.4473497, -71.2271531"
"FULCRUM IT SERVICES, LLC",CENTREVILLE,VIRGINIA,"38.8403909, -77.42887689999999"
FULTONST1 LLC,CAPITOL HEIGHTS,MARYLAND,"38.8851122, -76.9158068"
G4S SECURE SOLUTIONS (USA) INC,JUPITER,FLORIDA,"26.9318533, -80.1023696"
"GALLS, LLC",LEXINGTON,KENTUCKY,"38.0389091, -84.5152662"
GALVESTON COASTAL SERVICES A JOINT VENTURE,HOUSTON,TEXAS,"29.7600771, -95.37011079999999"
"GAP SOLUTIONS, INC.",HERNDON,VIRGINIA,"38.9695545, -77.3860976"
"GARCO CONSTRUCTION, INC.",SPOKANE,WASHINGTON,"47.6579711, -117.4235319"
GARCO WEMCO A JOINT VENTURE,SPOKANE,WASHINGTON,"47.6579711, -117.4235319"
GARDNER DENVER NASH LLC,CHARLEROI,PENNSYLVANIA,"40.1378499, -79.89810349999999"
"GARTNER, INC.",STAMFORD,CONNECTICUT,"41.0527986, -73.5394821"
"GATR TECHNOLOGIES, INC.",HUNTSVILLE,ALABAMA,"34.7295497, -86.5853155"
GBA BUILDERS LLC,LENEXA,KANSAS,"38.9536174, -94.73357089999999"
